Question,Answer,Role
 How can I add a Contact to an Opportunity?,"1. Open the Opportunity record.2. Scroll to the ""Contact Roles"" section.3. Click ""Add Contact Role,"" select a contact, and click ""Save.""",End-User
 How can I update the expected close date of an Opportunity?,"1. Open the Opportunity record.2. In the ""Close Date"" field, update the date.3. Click ""Save"" to apply changes.",End-User
How can I delete an Opportunity in Salesforce?,"1. Open the Opportunity record.2. Click the ""Delete"" button on the top right corner.3. Confirm the deletion to remove the Opportunity.",End-User
 How do I create a task related to an Opportunity?,"1. Open the Opportunity record.2. Scroll to the ""Activity History"" section.3. Click ""New Task,"" fill in the details, and click ""Save.""",End-User
 How do I add a custom field to an Opportunity record?,"1. Open the Opportunity record.2. Click ""Edit"" and scroll to the field section.3. Click on ""Add Fields"" and select the custom field.",End-User
How do I set up automatic email alerts for Opportunity changes?,"1. Go to Setup.2. Search for ""Workflow Rules.""3. Click ""New Rule"" and select ""Opportunity."" 4. Define criteria and set up the email alert action.",Sales Admin
 How do I create custom Opportunity page layouts?,"1. Go to Setup.2. Search for ""Page Layouts.""3. Select ""Opportunity Layouts.""4. Drag and drop fields, sections, and buttons to customize.",Sales Admin
How can I create an Opportunity record type in Salesforce?,"1. Go to Setup.2. Search for ""Record Types"" in the Quick Find box.3. Select the ""Opportunity"" object.4. Create a new record type and save.",Sales Admin
 How do I set up Opportunity sharing rules in Salesforce?,"1. Go to Setup.2. Search for ""Sharing Settings.""3. Click ""New Rule"" for Opportunities.4. Define the rule and set the access levels.",Sales Admin
How do I create a Sales Process for Opportunities?,"1. Go to Setup.2. Search for ""Sales Processes.""3. Click ""New Sales Process.""4. Choose the stages and save the process.",Sales Admin
How do I configure Opportunity Teams in Salesforce?,"1. Go to Setup.2. Search for ""Opportunity Teams.""3. Enable the feature if it's not already enabled.4. Add team members and save.",Sales Admin
 How do I track Opportunity milestones using Sales Cloud?,"1. Go to Setup.2. Search for ""Milestones"" and enable them.3. Add milestones to Opportunity records.4. Track progress on the Opportunity page.",Sales Admin
 How do I set up Opportunity-related reports in Salesforce?,"1. Go to the ""Reports"" tab.2. Click ""New Report.""3. Select ""Opportunities"" as the report type.4. Customize the report and save.",Sales Admin
How do I create Opportunity products in Sales Cloud?,"1. Go to Setup.2. Search for ""Opportunity Products.""3. Enable the feature if needed.4. Add products to the Opportunity and save.",Sales Admin
 How do I use the Sales Cloud console for Opportunity management?,"1. Go to Setup.2. Search for ""Sales Cloud Console."" 3. Enable the Sales Cloud Console.4. Customize the layout for managing Opportunities.",Sales Admin
"""How can I view my upcoming tasks and activities in Salesforce?""","Navigate to the 'Home' tab in Salesforce. 2. Look for the 'Tasks' or 'Upcoming Activities' section. 3. Here, you will find a list of tasks and events sorted by their due date.",end_user
"""How do I update a contact’s information if they change their email or phone number?""",Go to the 'Contacts' tab. 2. Search for the contact by name in the search bar. 3. Click on the contact’s record to open it. 4. Click the 'Edit' button. 5. Update the email or phone number fields. 6. Click 'Save' to apply the changes.,end_user
"""What’s the best way to log a call or meeting with a client in Salesforce?""","Open the relevant record, such as a contact or opportunity. 2. Scroll to the 'Activity' section. 3. Click 'Log a Call' to record a past interaction or 'New Event' for a scheduled meeting. 4. Fill in the required details, such as date, time, and description. 5. Click 'Save' to store the activity.",end_user
"""How do I find all my open opportunities with a specific account?""","Navigate to the 'Opportunities' tab. 2. Use the search bar to look for the account name. 3. Apply filters, such as 'Stage' set to 'Open.' 4. Alternatively, create a report to see all opportunities related to the account with specific details.",end_user
"""Can you help me create a report to see the sales pipeline by stage for this quarter?""","Go to the 'Reports' tab. 2. Click 'New Report' and select 'Opportunities' as the report type. 3. Add filters, such as 'Close Date' for this quarter and 'Stage' for pipeline stages. 4. Drag and drop fields like Opportunity Name, Stage, and Amount into the report. 5. Save and run the report to view the pipeline.",end_user
"""How do I share an opportunity record with another user?""","Open the opportunity record. 2. Look for the 'Sharing' button (if available). 3. Click 'Sharing' and add the user or group you want to share it with. 4. Set the access level (e.g., Read-Only or Edit). 5. Click 'Save' to apply the sharing settings.",end_user
"""What steps should I follow to close a case as resolved in Salesforce?""",Open the 'Cases' tab. 2. Search for and select the case you want to close. 3. Open the case record and update the 'Status' field to 'Resolved' or 'Closed.' 4. Add any necessary comments or resolution notes. 5. Click 'Save' to finalize the case.,end_user
"""How can I set a reminder or follow-up task for a specific lead?""","Go to the lead’s record. 2. Scroll to the 'Activity' section. 3. Click 'New Task' to create a follow-up reminder. 4. Fill in details like the due date, subject, and description. 5. Click 'Save' to schedule the task.",end_user
"""How do I add a new lead and assign it to the correct team member?""","Go to the 'Leads' tab. 2. Click the 'New Lead' button. 3. Fill in the lead’s details, such as name, company, and contact information. 4. Use the 'Owner' field to assign the lead to a team member. 5. Click 'Save' to add the lead to Salesforce.",end_user
"""What’s the process to escalate a case to a higher support level?""",Open the case record from the 'Cases' tab. 2. Look for the 'Escalate' button or option (if available). 3. Update the priority or escalation details in the case record. 4. Notify the assigned support team or manager about the escalation. 5. Save the changes to reflect the escalation.,end_user
"""Can I get a summary of my sales performance for the last month?""","Go to the 'Reports' or 'Dashboard' tab. 2. Look for a pre-built report or dashboard showing sales performance metrics. 3. If unavailable, create a custom report by selecting 'Opportunities' as the report type. 4. Filter the data by 'Close Date' for the last month. 5. Add fields like 'Amount' and 'Stage' to the report and run it.",end_user
"""How do I export contact data from Salesforce into an Excel file?""",Go to the 'Reports' tab. 2. Open or create a report containing the contact data you want. 3. Click the 'Export' button. 4. Choose the desired format (Excel or CSV). 5. Download the exported file to your computer.,end_user
"""What are my options for integrating emails from Outlook into Salesforce?""","Install the Salesforce Outlook Integration tool or plugin. 2. Log in using your Salesforce credentials. 3. Use the plugin to log emails directly to Salesforce records, such as contacts or opportunities. 4. You can also use email-to-case functionality for support cases.",end_user
"""How do I view my top accounts by revenue in Salesforce?""",Go to the 'Reports' tab. 2. Click 'New Report' and select 'Accounts' as the report type. 3. Add fields such as Account Name and Revenue. 4. Sort the data by Revenue in descending order. 5. Save and run the report to view the results.,end_user
"""Can you help me find all contacts within a specific region or city?""","Go to the 'Contacts' tab. 2. Click on the filters icon or use the search bar. 3. Filter by fields such as City, State, or Region. 4. Apply the filters to display the relevant contacts.",end_user
"""What’s the difference between a task and an event in Salesforce, and how should I use each?""",Tasks are for tracking to-dos and reminders with deadlines. 2. Events are for scheduled meetings or calls that appear on your calendar. 3. Use tasks for follow-ups or actions to complete and events for time-specific activities.,end_user
"""How do I access and use a report someone else created in Salesforce?""",Go to the 'Reports' tab. 2. Navigate to the 'Folders' section to find shared reports. 3. Click on the report to open it. 4. View or modify the report depending on your permissions.,end_user
"""What’s the best way to track changes made to a specific record over time?""",Ensure that field history tracking is enabled for the object. 2. Go to the record where you want to track changes. 3. Scroll to the 'History' related list. 4. Review the log of changes made to tracked fields.,end_user
"""How do I add notes or files to a contact’s record in Salesforce?""",Open the contact’s record. 2. Scroll to the 'Notes & Attachments' section. 3. Click 'Add Note' to write a note or 'Upload File' to attach a document. 4. Save the note or file to complete the process.,end_user
"""Can you guide me on using Chatter to collaborate with my team on an opportunity?""",Open the opportunity record. 2. Navigate to the Chatter feed section. 3. Type your message in the Chatter feed. 4. Use @mentions to tag team members. 5. Attach any relevant files or links. 6. Post your message to collaborate with your team.,end_user
"""How can I create a new custom field in Salesforce?""","1.Navigate to the Setup menu by clicking the gear icon. 2.In the Quick Find box, search for ""Object Manager."" 3.Select the object (e.g., Account, Opportunity) where you want to add the custom field. 4. Click Fields & Relationships. 5.Click New Field. Choose the field type (e.g., Text, Number, Picklist). 6.Enter the field details (name, label, description). 7.Set field-level security and make the field visible to relevant profiles. 8.Click Save.",end_user
"""What’s the best way to manage user permissions and profiles in Salesforce?""",1.Go to Setup.,admin
"""How do I set up a new record type for accounts or opportunities?""",1.Navigate to Setup.,admin
"""Can you explain the difference between a custom object and a standard object in Salesforce?""","1.Standard objects are pre-built and come with Salesforce (e.g., Account, Contact).",admin
"""How can I troubleshoot issues with a user not being able to access certain records?""",1.Verify the user’s profile permissions to ensure they have access to the object.,admin
"""What steps should I follow to deploy changes from a sandbox environment to production?""",1.Verify that all changes in the sandbox are working correctly.,admin
"""How do I configure a validation rule to prevent users from saving a record without a required field?""",1.Navigate to Setup.,admin
"""Can you explain how to set up a workflow rule for automated email notifications?""",1.Go to Setup.,admin
"""What are the steps to set up a new report type in Salesforce?""",1.Go to Setup.,admin
"""How do I create and manage a custom approval process in Salesforce?""",1.Navigate to Setup.,admin
"""What’s the best way to monitor user login activity and security in Salesforce?""",1.Go to Setup.,admin
"""How can I create a dashboard that tracks key metrics for the sales team?""","1.Create reports that track the key sales metrics (e.g., closed deals, opportunities).",admin
"""What are the limitations of Salesforce’s storage, and how can I optimize it?""",1.Salesforce has data storage and file storage limits based on your subscription plan.,admin
"""Can you walk me through setting up email deliverability and configuring DKIM in Salesforce?""","1.Go to Setup and search for ""Email Deliverability.""",admin
"""How do I configure the Salesforce Mobile app for users to access records on the go?""",1.Go to Setup and search for “Salesforce Mobile Settings.”,admin
"""How can I automate the process of deactivating inactive users and archiving their data?""",1.Create a report to identify inactive users based on login activity.,admin
"""What’s the process for managing and troubleshooting data integrations in Salesforce?""",1.Review integration logs for error messages.,admin
"""How do I configure sharing rules to give different teams access to specific records?""","1.Go to Setup and search for ""Sharing Rules.""",admin
"""Can you explain how to set up a sandbox for testing and development purposes?""","1.Go to Setup and search for ""Sandboxes.""",admin
"""How do I configure and use the Event Monitoring feature to track user activity and system performance?""",1.Enable Event Monitoring in Salesforce Setup.,admin
